TANGGAL		IMSAK	SUBUH	TERBIT	DUHA	ZUHUR	ASAR	MAGRIB	ISYA
Sabtu, 01/01/2022		04:39	04:49	06:07	06:36	12:18	15:43	18:23	19:37
Minggu, 02/01/2022		04:40	04:50	06:08	06:36	12:19	15:44	18:23	19:37
Senin, 03/01/2022		04:40	04:50	06:08	06:37	12:19	15:44	18:24	19:38
Selasa, 04/01/2022		04:41	04:51	06:09	06:37	12:20	15:44	18:24	19:38
Rabu, 05/01/2022		04:41	04:51	06:09	06:38	12:20	15:45	18:25	19:38
Kamis, 06/01/2022		04:42	04:52	06:09	06:38	12:21	15:45	18:25	19:39
Jumat, 07/01/2022		04:42	04:52	06:10	06:39	12:21	15:46	18:25	19:39
Sabtu, 08/01/2022		04:43	04:53	06:10	06:39	12:22	15:46	18:26	19:40
Minggu, 09/01/2022		04:43	04:53	06:11	06:40	12:22	15:46	18:26	19:40
Senin, 10/01/2022		04:44	04:54	06:11	06:40	12:22	15:47	18:27	19:40
Selasa, 11/01/2022		04:44	04:54	06:12	06:40	12:23	15:47	18:27	19:41
Rabu, 12/01/2022		04:45	04:55	06:12	06:41	12:23	15:47	18:27	19:41
Kamis, 13/01/2022		04:45	04:55	06:12	06:41	12:24	15:48	18:28	19:41
Jumat, 14/01/2022		04:46	04:56	06:13	06:41	12:24	15:48	18:28	19:41
Sabtu, 15/01/2022		04:46	04:56	06:13	06:42	12:24	15:48	18:28	19:42
Minggu, 16/01/2022		04:47	04:57	06:13	06:42	12:25	15:48	18:29	19:42
Senin, 17/01/2022		04:47	04:57	06:14	06:42	12:25	15:49	18:29	19:42
Selasa, 18/01/2022		04:48	04:58	06:14	06:43	12:25	15:49	18:29	19:42
Rabu, 19/01/2022		04:48	04:58	06:15	06:43	12:26	15:49	18:30	19:42
Kamis, 20/01/2022		04:49	04:59	06:15	06:43	12:26	15:49	18:30	19:43
Jumat, 21/01/2022		04:49	04:59	06:15	06:44	12:26	15:49	18:30	19:43
Sabtu, 22/01/2022		04:49	04:59	06:15	06:44	12:26	15:50	18:31	19:43
Minggu, 23/01/2022		04:50	05:00	06:16	06:44	12:27	15:50	18:31	19:43
Senin, 24/01/2022		04:50	05:00	06:16	06:44	12:27	15:50	18:31	19:43
Selasa, 25/01/2022		04:51	05:01	06:16	06:45	12:27	15:50	18:31	19:43
Rabu, 26/01/2022		04:51	05:01	06:16	06:45	12:27	15:50	18:31	19:43
Kamis, 27/01/2022		04:51	05:01	06:17	06:45	12:28	15:50	18:32	19:43
Jumat, 28/01/2022		04:52	05:02	06:17	06:45	12:28	15:50	18:32	19:44
Sabtu, 29/01/2022		04:52	05:02	06:17	06:45	12:28	15:50	18:32	19:44
Minggu, 30/01/2022		04:52	05:02	06:17	06:45	12:28	15:50	18:32	19:44
Senin, 31/01/2022		04:53	05:03	06:18	06:46	12:28	15:50	18:32	19:44
Selasa, 01/02/2022		04:53	05:03	06:18	06:46	12:29	15:50	18:32	19:44
Rabu, 02/02/2022		04:53	05:03	06:18	06:46	12:29	15:50	18:32	19:44
Kamis, 03/02/2022		04:53	05:03	06:18	06:46	12:29	15:50	18:33	19:44
Jumat, 04/02/2022		04:54	05:04	06:18	06:46	12:29	15:49	18:33	19:44
Sabtu, 05/02/2022		04:54	05:04	06:18	06:46	12:29	15:49	18:33	19:44
Minggu, 06/02/2022		04:54	05:04	06:18	06:46	12:29	15:49	18:33	19:43
Senin, 07/02/2022		04:54	05:04	06:18	06:46	12:29	15:49	18:33	19:43
Selasa, 08/02/2022		04:55	05:05	06:18	06:46	12:29	15:49	18:33	19:43
Rabu, 09/02/2022		04:55	05:05	06:19	06:46	12:29	15:48	18:33	19:43
Kamis, 10/02/2022		04:55	05:05	06:19	06:46	12:29	15:48	18:33	19:43
Jumat, 11/02/2022		04:55	05:05	06:19	06:46	12:29	15:48	18:33	19:43
